,death_rate,stringency_mean,iso_code,location,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,life_expectancy,human_development_index
47,1.231439431687143,44.73230769230775,HRV,Croatia,73.726,44.0,19.724,13.052999999999999,22669.797000000002,253.782,5.59,78.49,0.831
48,1.7586580086580088,75.68210743801652,CUB,Cuba,110.40799999999999,43.1,14.738,9.719,0.0,190.968,8.27,78.8,0.777
49,0.17683465959328026,0.0,CUW,Curacao,362.644,41.7,16.367,10.068,0.0,0.0,11.62,78.88,0.0
50,0.46060991105463783,61.710285714285675,CYP,Cyprus,127.65700000000001,37.3,13.415999999999999,8.562999999999999,32415.132,141.171,9.24,80.98,0.8690000000000001
51,1.2382525355913279,48.15427450980386,CZE,Czech Republic,137.17600000000002,43.3,19.027,11.58,32605.906000000003,227.485,6.82,79.38,0.888
52,2.705953096812989,58.99934426229511,COD,Democratic Republic of Congo,35.879,17.0,3.02,1.745,808.133,318.949,6.1,60.68,0.457
53,1.3167597176867165,53.75876447876446,DNK,Denmark,136.52,42.3,19.677,12.325,46682.515,114.76700000000001,6.41,80.9,0.929
54,1.0829043138647256,58.032478991596705,DJI,Djibouti,41.285,25.4,4.213,2.38,2705.406,258.03700000000003,6.05,67.11,0.47600000000000003
56,1.7303307379643258,74.6100784313729,DOM,Dominican Republic,222.873,27.6,6.981,4.419,14600.861,266.653,8.2,74.08,0.736
57,7.312575763611839,69.04929687500001,ECU,Ecuador,66.939,28.1,7.104,4.458,10581.936000000002,140.44799999999998,5.55,77.01,0.752
58,5.831068634067157,61.49789667896667,EGY,Egypt,97.999,25.3,5.159,2.891,10550.206,525.432,17.31,71.99,0.696
59,2.9136434770237587,79.43861344537787,SLV,El Salvador,307.811,27.6,8.273,5.417000000000001,7292.4580000000005,167.295,8.87,73.32,0.674
60,1.6660133281066247,0.0,GNQ,Equatorial Guinea,45.193999999999996,22.4,2.846,1.7519999999999998,22604.873,202.812,7.78,58.74,0.591
62,1.1919698870765372,35.237403100775076,EST,Estonia,31.033,42.7,19.452,13.491,29481.252,255.56900000000002,4.02,78.74,0.871
63,1.5319903914200563,73.52872427983544,ETH,Ethiopia,104.95700000000001,19.8,3.5260000000000002,2.063,1729.9270000000001,182.63400000000001,7.47,66.6,0.46299999999999997
